# 3-Tier Architecture — Services + Resource Icons (Res_* maximized)
# Format: id,OfficialName,Abbreviation,Summary,Usage,Notes
# ── Tier 1: Presentation — Global Services (outside region) ──────────────
1179,Amazon Route 53,R53,DNS web service,Global DNS routing and health checks,
1568,Amazon Route 53 Hosted Zone,R53-Zone,Resource: hosted zone,DNS hosted zone object,
1178,Amazon CloudFront,CF,Content Delivery Network,Global CDN for static/dynamic content,
1564,Amazon CloudFront Distribution,CF-Dist,Resource: distribution,Download distribution resource,
227,AWS WAF,WAF,Web application firewall,Protect against common web exploits,
216,AWS Identity and Access Management,IAM,Access control,Global user and role management,
1479,AWS IAM Role,IAM-Role,Resource: IAM role,Execution roles for services,
# ── Tier 2 support: Managed & Serverless (regional, outside VPC) ─────────
13,AWS Lambda,Lambda,Serverless compute,Event-driven function execution,
1783,AWS Lambda Function,Fn,Resource: function,Lambda function resource icon,
1020,Amazon Simple Storage Service,S3,Object storage,Static assets and backups (VPC endpoint),
1642,Amazon S3 Bucket,S3-Bkt,Resource: bucket,S3 bucket resource icon,
604,Amazon CloudWatch,CW,Monitoring,Metrics logs and alarms,
1539,Amazon CloudWatch Alarm,CW-Alm,Resource: alarm,CloudWatch alarm resource,
1545,Amazon CloudWatch Logs,CW-Log,Resource: log group,CloudWatch Logs resource,
720,AWS Step Functions,SF,Workflow orchestration,Coordinate distributed applications,
441,AWS CodePipeline,CP,CI/CD pipeline,Automate build test and deploy,
112,Amazon DynamoDB,DDB,NoSQL database,Serverless NoSQL – accessed via VPC endpoint,
1821,Amazon DynamoDB Table,DDB-Tbl,Resource: table,DynamoDB table resource icon,
1820,Amazon DynamoDB Stream,DDB-Str,Resource: stream,DynamoDB stream resource icon,
# ── Messaging, Events & Governance (regional, outside VPC) ───────────────
705,Amazon Simple Notification Service,SNS,Pub/Sub messaging,Fan-out notifications and CloudWatch alerts,
1506,Amazon SNS Topic,SNS-Top,Resource: topic,SNS topic resource icon,
706,Amazon Simple Queue Service,SQS,Message queue,Decouple microservices,
1509,Amazon SQS Queue,SQS-Q,Resource: queue,SQS queue resource icon,
1508,Amazon SQS Message,SQS-Msg,Resource: message,SQS message resource icon,
722,Amazon EventBridge,EB,Event bus,Route events between services,
1495,Amazon EventBridge Custom Bus,EB-Bus,Resource: custom event bus,Custom EventBridge bus resource,
1498,Amazon EventBridge Rule,EB-Rule,Resource: event rule,EventBridge rule resource icon,
314,Amazon Macie,Macie,Data security,Discover and protect sensitive data,
# ── VPC Edge (inside VPC, not AZ-specific) ────────────────────────────────
1581,Amazon VPC Internet Gateway,IGW,Internet connectivity,Inbound/outbound internet traffic,
1182,Elastic Load Balancing,ELB,Load balancing service,Tier 1→2: distribute traffic across app instances,
222,AWS Secrets Manager,SM,Secrets management,Inject credentials into app tier,
1579,Amazon VPC Endpoints,VPC-EP,Resource: VPC endpoint,Private service endpoints resource,
1580,Amazon VPC Flow Logs,Flow-Log,Resource: flow log,VPC traffic flow log resource,
# ── AZ: ap-northeast-1a — Tier 2 Application + Tier 3 Data (primary) ─────
1582,Amazon VPC NAT Gateway,NATGW,NAT gateway,AZ-specific outbound internet for private subnets,
27,Amazon EC2,EC2,Virtual server,Application instances (primary AZ),
1790,Amazon EC2 Instance,EC2-Inst,Resource: instance,EC2 instance resource icon,
1628,Amazon EBS Volume,EBS-Vol,Resource: volume,EBS gp3 volume resource icon,
547,Amazon Elastic Container Service,ECS,Container orchestration,Run containerised workloads,
1685,Amazon ECS Task,ECS-Task,Resource: task,ECS task resource icon,
1684,Amazon ECS Service,ECS-Svc,Resource: service,ECS service resource icon,
548,Amazon Elastic Kubernetes Service,EKS,Managed Kubernetes,Run Kubernetes workloads,
110,Amazon Aurora,Aurora,Relational database,Aurora primary (read/write) + replica (read-only),
1795,Amazon Aurora Instance,Aur-Inst,Resource: DB instance,Aurora DB instance resource icon,
113,Amazon ElastiCache,EC,In-memory caching,Session and query cache,
# ── AZ: ap-northeast-1b — Tier 2 Application + Tier 3 Data (standby) ─────
1791,Amazon EC2 Instances,EC2-Inst,Resource: multiple instances,EC2 instances resource (plural),
1683,Amazon ECS Service Connect,ECS-SC,Resource: service connect,ECS service mesh resource,
1677,Amazon ECR Image,ECR-Img,Resource: container image,ECR container image resource,
117,Amazon RDS,RDS,Relational database,Multi-AZ standby / failover instance,
1830,Amazon RDS Multi-AZ,RDS-MAZ,Resource: Multi-AZ,RDS Multi-AZ deployment resource,
1827,Amazon RDS Proxy,RDS-Prx,Resource: proxy,RDS connection proxy resource,
